,,0
column_1,column_1,1.0
column_1016,column_1140,0.9925104945099112
column_1109,column_1395,0.9922928126661794
column_68,column_75,0.9897351956840564
column_1020,column_1032,0.9853987785095799
column_1109,column_1155,0.9847546237607822
column_1542,column_1555,0.9845203168022767
column_1436,column_1456,0.9834923779397909
column_174,column_794,0.9829810721824482
column_1019,column_1196,0.9826160648489315
column_168,column_1386,0.9817699387804494
column_48,column_1001,0.9810964303191226
column_1016,column_1368,0.9783035698688057
column_1048,column_1109,0.9773792985997355
column_1155,column_1395,0.9771516326248393
column_227,column_702,0.9767994575065468
column_28,column_264,0.9756914358380894
column_28,column_108,0.9744711473891965
column_193,column_549,0.9734698553824286
column_133,column_1081,0.9731206172389406
column_35,column_235,0.9722125854779218
column_111,column_1068,0.9716178160046495
column_1137,column_1241,0.9713387157092356
column_1140,column_1368,0.9709765599112998
column_86,column_394,0.9699354480673906
column_1048,column_1395,0.9698266398885086
column_84,column_966,0.9697255035646466
column_71,column_1113,0.968039277437706
column_266,column_885,0.9664798950458854
column_552,column_885,0.9663631044019034
column_66,column_1058,0.9658857713948811
column_246,column_1198,0.9656772403513155
column_266,column_367,0.9652524329789766
column_1016,column_1044,0.9645706577327549
column_647,column_1001,0.9644874270431684
column_367,column_552,0.9641995785437236
column_50,column_471,0.9634187137861275
column_196,column_412,0.9632109823321224
column_1190,column_1296,0.9611477043413897
column_18,column_36,0.9605642208099124
column_961,column_973,0.960357370478022
column_1044,column_1140,0.9573465004960867
column_8,column_202,0.9572232046323654
column_148,column_416,0.9570173379503848
column_1542,column_1556,0.9555663267021899
column_17,column_971,0.9532596168985888
column_991,column_1377,0.9530548652204296
column_108,column_264,0.9507831529789555
column_412,column_539,0.9497701583416153
column_28,column_72,0.9495724668661821
column_127,column_150,0.9484814290625809
column_74,column_111,0.9482779644289135
column_168,column_1061,0.9480728851413844
column_48,column_647,0.9462551717597275
column_1029,column_1068,0.9455013288307959
column_1144,column_1155,0.9442523435111188
column_252,column_820,0.9440172765674688
column_1044,column_1368,0.9435503147720727
column_111,column_1040,0.9424065617167292
column_168,column_961,0.9422031880066465
column_1555,column_1556,0.9407359734887623
column_51,column_1004,0.9399358064980804
column_85,column_1068,0.9389356103083745
column_1048,column_1144,0.9371306106620965
column_1040,column_1524,0.9370731967562953
column_33,column_980,0.9350153642284621
column_264,column_677,0.9348140165342955
column_1456,column_1484,0.9346566418034259
column_367,column_885,0.9317366390251144
column_1154,column_1155,0.9316595778467033
column_1061,column_1386,0.9307445192265417
column_266,column_552,0.9306053954011178
column_42,column_379,0.9305524275415779
column_1109,column_1144,0.9298568612695286
column_158,column_1464,0.928724468036208
column_72,column_264,0.926468679269611
column_355,column_571,0.9256233470129666
column_24,column_976,0.9254255461216595
column_961,column_1386,0.9250267662080297
column_1048,column_1154,0.9246204966940207
column_1016,column_1196,0.9226888735667655
column_225,column_1237,0.9226506656174175
column_1144,column_1395,0.9226272542923584
column_13,column_84,0.9225566815097779
column_74,column_1068,0.9213637647637557
column_8,column_287,0.9194743616988553
column_1436,column_1484,0.9189890782927824
column_111,column_1029,0.9186193936856011
column_1109,column_1154,0.9174560770555595
column_1029,column_1040,0.9170752550278113
column_453,column_1418,0.9162405908251668
column_196,column_539,0.9148290472059626
column_1140,column_1196,0.9134270150258731
column_285,column_924,0.9126770107600938
column_56,column_453,0.9124822253342881
column_85,column_111,0.9122865670568154
column_28,column_677,0.9120900300339182
column_1154,column_1395,0.9103103832592985
column_1068,column_1524,0.908874449935693
column_11,column_1357,0.9086650147127149
column_129,column_1478,0.9081160950374937
column_398,column_643,0.9069045462528278
column_1016,column_1019,0.9065788665151484
column_168,column_973,0.9047536912004127
column_59,column_1295,0.9041490437036219
column_1433,column_1475,0.9039064727687482
column_12,column_1204,0.9030626191513054
column_1196,column_1368,0.9026698188885941
column_103,column_225,0.9008112995752524
column_17,column_673,0.8995742869306088
column_1019,column_1140,0.8972025264448472
column_94,column_1227,0.8964524298931587
column_429,column_692,0.8942372712205163
column_26,column_832,0.8940466646304278
column_19,column_972,0.8938553674842483
column_12,column_991,0.8936633760091912
column_140,column_358,0.8934706864048358
column_961,column_1061,0.8932772948428717
column_114,column_387,0.8930831974668416
column_1044,column_1196,0.8899986136589898
column_108,column_677,0.888805418089399
column_127,column_1134,0.8884633569739953
column_973,column_1386,0.8882278220073534
column_242,column_341,0.888082567018206
column_85,column_1029,0.8877648672331224
column_1019,column_1368,0.8868886674819093
column_66,column_87,0.8858388069072318
column_1155,column_1345,0.8857117456355799
column_1449,column_1478,0.8848524987304004
column_13,column_966,0.884845390645309
column_111,column_1524,0.8830532650729401
column_20,column_251,0.8815420591874231
column_92,column_252,0.8811646145548602
column_25,column_1402,0.8800736341059275
column_521,column_948,0.8798943251346973
column_555,column_603,0.8795244012642911
column_1144,column_1154,0.8792529013712453
column_1048,column_1345,0.8789727435379588
column_148,column_425,0.8781102186459088
column_235,column_701,0.8772571755479697
column_10,column_168,0.8768022361028691
column_446,column_451,0.8764977777811254
column_739,column_1113,0.8758855361632718
column_1019,column_1044,0.87442537084757
column_97,column_1047,0.8737288114776909
column_1109,column_1345,0.8722087368338709
column_214,column_364,0.8719397024943222
column_205,column_1469,0.8706614049395334
column_173,column_1123,0.8669907772317208
column_72,column_677,0.8660167884739607
column_166,column_254,0.8658415928084143
column_1340,column_1356,0.8658134243458475
column_49,column_369,0.8654724450792696
column_1345,column_1395,0.8653677034280914
column_28,column_1072,0.8651012487844785
column_969,column_1155,0.8650434159899731
column_870,column_1081,0.8649148770564705
column_43,column_996,0.864727986720659
column_10,column_1386,0.8607070101232179
column_341,column_1296,0.8601815808232447
column_1029,column_1524,0.8592926554922716
column_512,column_1356,0.8585134023193877
column_969,column_1048,0.8584385599654438
column_973,column_1061,0.8576792111681353
column_626,column_1011,0.8574870685057536
column_436,column_1405,0.8574794536047388
column_94,column_1232,0.8562899786780384
column_19,column_325,0.8556190993411128
column_193,column_1137,0.8542047010085045
column_129,column_1097,0.8535708341829542
column_808,column_1294,0.8530793313229457
column_35,column_701,0.8528804667685507
column_999,column_1254,0.8528194242116112
column_110,column_306,0.8522585810150628
column_969,column_1109,0.8518555036499478
column_12,column_1377,0.8517102283748739
column_1059,column_1141,0.8515209048553198
column_181,column_1091,0.8489304795882922
column_1469,column_1506,0.8483186437906755
column_988,column_1055,0.8478463398920577
column_71,column_739,0.8478134518039953
column_97,column_512,0.8453013312348351
column_969,column_1395,0.8451506650857394
column_1141,column_1208,0.8448539282420171
column_571,column_692,0.8447951494415472
column_17,column_33,0.8444343617062908
column_178,column_240,0.8440718795718519
column_1345,column_1400,0.8439175844325433
column_37,column_644,0.8426459581218199
column_1047,column_1339,0.8416554360719561
column_994,column_1405,0.8408232118758434
column_963,column_1329,0.840398122872829
column_416,column_425,0.8403667038755378
column_1507,column_1510,0.839272634996239
column_416,column_501,0.8383670450221167
column_71,column_1214,0.8373318266289624
column_549,column_1137,0.8372807722263467
column_1059,column_1155,0.8365246332053987
column_1030,column_1496,0.8361262720768574
column_50,column_382,0.835588987016871
column_1144,column_1345,0.8355302788453295
